1,8102,Private flight,\N,-,N/A,,,Y
2,880,135 Airways,\N,,GNL,GENERAL,United States,N
3,4576,1Time Airline,\N,1T,RNX,NEXTIME,South Africa,Y
4,10364,2 Sqn No 1 Elementary Flying Training School,\N,,WYT,,United Kingdom,N
5,1262,213 Flight Unit,\N,,TFU,,Russia,N
6,12371,223 Flight Unit State Airline,\N,,CHD,CHKALOVSK-AVIA,Russia,N
7,7516,224th Flight Unit,\N,,TTF,CARGO UNIT,Russia,N
8,6018,247 Jet Ltd,\N,,TWF,CLOUD RUNNER,United Kingdom,N
9,11069,3D Aviation,\N,,SEC,SECUREX,United States,N
10,3825,40-Mile Air,\N,Q5,MLA,MILE-AIR,United States,Y
11,7408,4D Air,\N,,QRT,QUARTET,Thailand,N
12,4980,611897 Alberta Limited,\N,,THD,DONUT,Canada,N
13,2249,Ansett Australia,\N,AN,AAA,ANSETT,Australia,Y
14,9819,Abacus International,\N,1B,,,Singapore,Y
15,2331,Abelag Aviation,\N,W9,AAB,ABG,Belgium,N
16,12580,Army Air Corps,\N,,AAC,ARMYAIR,United Kingdom,N
17,6463,Aero Aviation Centre Ltd.,\N,,AAD,SUNRISE,Canada,N
18,5581,Aero Servicios Ejecutivos Internacionales,\N,,SII,ASEISA,Mexico,N
19,8579,Aero Biniza,\N,,BZS,BINIZA,Mexico,N
20,7008,Aero Albatros,\N,,ABM,ALBATROS ESPANA,Spain,N
21,1876,Aigle Azur,\N,ZI,AAF,AIGLE AZUR,France,Y
22,3701,Aloha Airlines,\N,AQ,AAH,ALOHA,United States,Y
23,9652,Alaska Island Air,\N,,AAK,ALASKA ISLAND,United States,N
24,10062,American Airlines,\N,AA,AAL,AMERICAN,United States,Y
25,6191,Aviation Management Corporation,\N,,AAM,AM CORP,United States,N
26,12509,Atlantis Airlines (USA),\N,,AAO,ATLANTIS AIR,United States,N
27,3061,Aerovista Airlines,\N,,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,12483,Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea,Y
29,3907,Askari Aviation,\N,4K,AAS,AL-AAS,Pakistan,Y
30,11316,Australia Asia Airlines,\N,,AAU,AUSTASIA,Australia,N
31,11181,Astro Air International,\N,,AAV,ASTRO-PHIL,United States,N
32,2494,Afriqiyah Airways,\N,8U,AAW,AFRIQIYAH,Libya,Y
33,5984,Afrinat International Airlines,\N,Q9,AFU,,Gambia,N
34,4815,Afric'air Express,\N,,AAX,AFREX,Ivory Coast,N
35,12105,Allegiant Air,\N,G4,AAY,ALLEGIANT,United States,Y
36,7715,Angus Aviation,\N,,AAZ,ANGUS,Canada,N
37,4335,Artem-Avia,\N,,ABA,ARTEM-AVIA,Ukraine,N
38,7866,African Business and Transportations,\N,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,5476,Aban Air,\N,K5,ABE,ABAN,Iran,n
40,6408,Aerial Oy,\N,,ABF,SKYWINGS,Finland,N
41,9276,Abakan-Avia,\N,,ABG,ABAKAN-AVIA,Russia,N
42,4839,ABSA - Aerolinhas Brasileiras,\N,M3,TUS,ABSA Cargo,Brazil,Y
43,5433,Abaet,\N,,ABJ,Abaet,Brazil,N
44,3032,Alberta Citylink,\N,,ABK,ALBERTA CITYLINK,Canada,N
45,438,APSA Colombia,\N,,ABO,AEROEXPRESO,Colombia,N
46,8236,Aerovias Bueno,\N,,ABU,AEROBUENO,Colombia,N
47,4335,Aerocenter,\N,,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,10223,Antrak Air,\N,4,ABV,ANTRAK,Ghana,N
49,6260,Airborne Express,\N,GB,ABX,ABEX,United States,N
50,2669,ABX Air,\N,GB,ABX,ABEX,United States,N
51,9564,ATA Brasil,\N,,ABZ,ATA-BRAZIL,Brazil,N
52,4284,Avcard Services,\N,,ACC,,United Kingdom,N
53,2648,Academy Airlines,\N,,ACD,ACADEMY,United States,N
54,11901,Aero Comondu,\N,,ACO,AERO COMONDU,Mexico,N
55,11931,Astral Aviation,\N,8V,ACP,ASTRAL CARGO,Kenya,Y
56,12077,Air Cess,\N,,ACS,,Liberia,N
57,8305,Air Aurora,\N,,AAI,BOREALIS,United States,N
58,2148,Air Cargo Transportation System,\N,,ACU,AFRISPIRIT,Kenya,N
59,6861,Air Charter Service,\N,,ACV,,United Kingdom,N
60,7734,Aero Asia International,\N,E4,RSO,AERO ASIA,Pakistan,N
61,3408,Air Charters,\N,,ACX,PARAIR,Canada,N
62,5395,Air Togo,\N,YT,TGA,AIR TOGO,Togo,N
63,8839,Air Somalia,\N,,RSM,AIR SOMALIA,Somali Republic,N
64,4118,Atlas Cargo Lines,\N,,ACY,ATLAS CARGOLINES,Morocco,N
65,1444,Airservices Australia,\N,,ADA,AUSCAL,Australia,N
66,3888,Advance Leasing Company,\N,4G,,,United States,N
67,478,Aztec Worldwide Airlines,\N,7A,,,United States,N
68,655,Air Tindi,\N,8T,,,Canadian Territories,Y
69,3010,Antonov Airlines,\N,,ADB,ANTONOV BUREAU,Ukraine,N
70,7912,Air Atlantic Dominicana,\N,,ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,690,Advanced Air Co.,\N,,ADD,,Japan,N
72,268,Ada Air,\N,ZY,ADE,ADA AIR,Albania,Y
73,5104,Aerea Flying Training Organization,\N,,ADG,AEREA TRAINING,Spain,N
74,6355,Audeli Air,\N,,ADI,AUDELI,Spain,N
